date,latitude,longitude,xco2_bias_corrected
2024-02-17,28.5696,77.395676,421.56027
2024-02-17,28.478155,77.3958,421.4478
2024-02-17,28.477783,77.29471,420.82935
2024-02-17,28.477,77.18455,420.84705
2024-02-17,28.478209,77.08339,419.9113
2024-02-17,26.897757,79.11118,420.1217
2024-02-17,25.557802,80.838615,418.07532
2024-02-17,24.125916,82.67382,422.95184
2024-02-17,24.074461,82.588196,420.88083
2024-02-17,24.07639,82.49189,419.4812
2024-02-17,23.988153,82.50209,419.92712
2024-02-17,23.988441,82.60102,424.52213
2024-02-17,23.955984,82.78954,423.3353
2024-02-17,23.956274,82.69184,422.15048
2024-02-17,23.908518,82.55019,420.98972
2024-02-17,23.87696,82.64251,421.70605
2024-02-17,23.877605,82.74123,421.16003
2024-02-17,21.070156,79.01208,421.73886
2024-02-17,21.072123,79.010826,420.17294
2024-02-17,21.074781,79.00964,420.63055
2024-02-17,18.514465,78.431656,418.26184
2024-02-17,18.5133,78.43024,419.758
2024-02-17,18.51423,78.42876,419.78345
2024-02-17,17.913864,80.86466,422.12552
2024-02-17,17.914751,80.86363,424.098
2024-02-17,17.917135,80.86276,424.26996
2024-02-17,15.990917,77.87164,419.94418
2024-02-17,15.99017,77.869446,419.01547
2024-02-17,15.992581,77.868416,418.38104
2024-02-17,16.363522,75.41589,421.0495
2024-02-17,16.365969,75.41471,419.44693
2024-02-17,16.370296,75.41368,420.14868
2024-02-17,13.8235445,74.899734,421.6444
2024-02-17,13.82606,74.89854,421.4296
2024-02-17,13.828183,74.89725,424.86993
2024-02-17,13.462574,77.31885,421.11707
2024-02-17,13.46426,77.31814,420.29514
2024-02-17,13.467205,77.31717,421.04364
2024-02-17,12.88172,79.69431,422.83096
2024-02-18,23.919807,93.38778,422.60083
2024-02-18,23.920828,93.386024,421.8858
2024-02-18,23.922024,93.38432,421.37497
2024-02-18,13.226255,93.01687,420.85895
2024-02-18,12.665764,92.884026,422.63095
2024-02-18,11.827623,92.6848,423.7066
2024-02-18,25.449547,74.57705,423.40256
2024-02-18,25.447851,74.57515,421.15576
2024-02-18,26.065662,72.008736,421.23276
2024-02-18,26.068357,72.007515,421.2318
2024-02-18,26.069923,72.00627,420.18555
2024-02-18,23.912697,68.83696,423.41357
2024-02-18,23.913841,68.83518,423.0942
2024-02-18,23.91767,68.83404,423.49796
2024-02-18,23.549324,71.40661,422.59113
